Fecha_Contratacion,Monto_Colocado,tech_cat,domestic_cat,credit_cat,online_cat,fin_help_cat,trump_dolar_rem,credito
2017-04-28,2541650.27,47,36,39,13,5,100,-4
2017-04-29,35844966.31,54,43,30,13,4,76,0
2017-04-30,3751555.2,55,41,24,14,3,71,0
2017-05-01,4120339.35,46,31,39,13,5,74,-2
2017-05-02,126151119.6,42,33,42,13,6,68,-4
2017-05-03,108572736.4,41,29,39,14,6,59,-2
2017-05-04,109177606.8,42,29,35,13,5,65,-4
2017-05-05,103767039.9,43,35,36,13,6,57,0
2017-05-06,10404241.26,52,34,31,14,4,51,-1
2017-05-07,8839660.18,55,49,21,14,4,45,-3
2017-05-08,134383972.8,54,37,24,15,4,46,0
2017-05-09,122552432.2,46,30,38,14,6,48,-6
2017-05-10,109437843.4,40,31,36,13,6,44,0
2017-05-11,106572523.5,38,29,34,14,6,43,-3
2017-05-12,116855292.2,43,26,38,13,4,41,0
2017-05-13,12910189.28,50,33,30,14,3,35,-1
2017-05-14,6482970.12,53,40,23,15,3,33,-4
2017-05-15,132186126.4,43,30,37,13,5,40,-5
2017-05-16,112122269.1,38,28,35,13,5,37,-3
2017-05-17,116921018.2,37,32,41,14,5,41,-3
2017-05-18,114632227.1,40,32,38,13,5,43,-3
2017-05-19,118579421.4,39,31,37,14,5,40,-2
2017-05-20,12513304.69,50,52,28,14,3,30,-1
2017-05-21,4584353.48,49,100,25,15,3,26,0
2017-05-22,146638523.2,42,30,37,16,6,33,0
2017-05-23,126786801.5,39,30,36,15,5,35,-7
2017-05-24,114683923.6,39,30,35,14,5,36,-4
2017-05-25,120988146,41,28,36,14,5,35,-5
2017-05-26,137164165.1,42,27,35,15,5,34,-2
2017-05-27,16177419.2,49,33,31,13,3,30,-2
2017-05-28,4060441.7,52,42,26,14,4,24,0
2017-05-29,152347136.9,42,34,39,14,5,37,-4
2017-05-30,133330810.6,42,27,43,15,5,35,0
2017-05-31,163944957.3,41,28,40,14,5,37,-4
2017-06-01,119903297.2,39,29,36,15,5,30,-5
2017-06-02,104400678.3,46,27,39,15,5,32,-7
2017-06-03,2631546,55,36,32,16,4,27,0
2017-06-04,23088228,57,45,24,14,4,22,-3
2017-06-05,170243312,48,28,38,15,6,30,0
2017-06-06,189679963,42,30,34,17,7,29,-8
2017-06-07,215124991.7,40,37,33,15,5,27,-6
2017-06-08,190026858.4,38,28,33,16,5,25,0
2017-06-09,185921862.2,42,28,38,14,5,27,-10
2017-06-10,22975187.62,50,30,30,15,3,22,-6
2017-06-11,17535271.56,56,34,23,16,3,20,0
2017-06-12,194925581,43,30,36,17,4,25,-2
2017-06-13,164675645.1,40,27,38,15,5,25,-4
2017-06-14,172428221.9,37,30,39,14,5,26,-5
2017-06-15,177300856.5,39,32,39,15,5,30,0
2017-06-16,174830874.3,42,27,41,14,4,31,-9
2017-06-17,17033771.1,47,40,30,14,3,29,-3
2017-06-18,6228825.62,55,55,24,14,2,23,0
2017-06-19,175021179.7,53,40,24,16,3,25,-8
2017-06-20,35335705.27,48,27,38,16,5,32,0
2017-06-21,273058226.6,42,29,38,14,6,29,0
2017-06-22,157676492.5,41,28,36,14,5,26,0
2017-06-23,165707494.7,42,26,38,13,5,30,-8
2017-06-24,18362340.9,49,36,28,15,3,27,-1
2017-06-25,7879545.65,54,38,18,14,3,24,-2
2017-06-26,184703871,42,36,36,15,5,30,-3
2017-06-27,151790026.8,38,37,38,14,5,28,-3
2017-06-28,172603810.2,40,28,38,14,5,26,-6
2017-06-29,177529508.4,42,27,40,15,5,28,-12
2017-06-30,207727016.4,43,25,48,15,5,29,-4
2017-07-01,17671017.85,49,33,36,13,5,23,-5
2017-07-02,3880715.16,50,38,23,14,3,20,0
2017-07-03,136142258.4,41,29,41,15,5,28,-5
2017-07-04,141455705.3,39,25,40,14,5,29,0
2017-07-05,138531979.5,39,29,41,15,6,26,-5
2017-07-06,12108886.03,41,27,38,14,6,27,-7
2017-07-07,261804557.9,41,28,44,15,4,38,-10
2017-07-08,31733893.56,52,41,34,17,4,27,0
2017-07-09,15223259.76,58,39,23,16,3,26,-1
2017-07-10,171357485.3,51,30,41,17,4,31,-8
2017-07-11,161317011.3,51,40,42,17,4,31,-6
2017-07-12,179748549.5,50,45,46,16,2,27,-9
2017-07-13,165920136.9,56,36,31,16,2,29,-9
2017-07-14,171740664.7,56,35,23,16,2,29,-2
2017-07-15,26478534.02,58,38,26,17,2,27,0
2017-07-16,8700618.6,56,40,24,17,2,23,-3
2017-07-17,190446855.2,52,33,44,18,5,30,-4
2017-07-18,165955046.9,48,43,39,18,5,28,-3
2017-07-19,185637543.5,44,46,39,16,3,28,0
2017-07-20,179669256.2,47,53,37,16,4,27,0
2017-07-21,180600702.9,45,30,37,16,4,26,-4
2017-07-22,23299655.74,51,35,30,16,2,22,-3
2017-07-23,7755705.02,50,59,28,16,2,19,-6
2017-07-24,197649969.4,41,31,39,17,4,27,-5
2017-07-25,175574877.5,43,26,38,16,4,26,0
2017-07-26,180018925.2,42,29,38,16,4,28,-12
2017-07-27,174944958.8,41,28,38,15,4,32,0
2017-07-28,209058129.3,47,30,54,19,4,79,-6
2017-07-29,21651945.04,61,41,41,19,4,62,-3
2017-07-30,6441313.24,64,45,21,18,2,56,-2
2017-07-31,246990352.3,67,37,19,21,3,67,0
2017-08-01,171790114.9,51,41,37,20,5,77,-7
2017-08-02,139299224.6,45,37,34,19,5,67,-3
2017-08-03,134139483.8,45,30,32,19,5,63,-2
2017-08-04,141618395.3,57,34,37,19,4,66,-2
2017-08-05,16643337.85,61,48,28,19,3,50,-1
2017-08-06,5515706.59,58,90,20,19,3,46,-1
2017-08-07,185824728.8,49,35,33,20,6,65,-2
2017-08-08,163268649.5,49,36,30,20,5,64,0
2017-08-09,158867576.2,50,40,28,18,4,58,-3
2017-08-10,153394284.5,50,38,31,20,5,66,0
2017-08-11,164448292.2,49,39,37,19,4,69,-3
2017-08-12,21427029.65,58,38,31,21,3,54,0
2017-08-13,6354326.4,62,58,23,22,3,46,0
2017-08-14,173231647.5,54,42,39,20,4,61,-1
2017-08-15,164749138.6,49,29,35,19,5,70,0
2017-08-16,154045472.2,44,32,37,18,5,69,-5
2017-08-17,146049238.6,44,28,35,19,5,74,0
2017-08-18,154306728.2,45,33,37,19,5,63,-3
2017-08-19,16376058.92,55,34,26,21,3,55,0
2017-08-20,643021.49,57,64,21,20,3,60,0
2017-08-21,176575861.3,42,47,38,21,5,70,0
2017-08-22,149476353.6,44,30,32,21,4,73,-1
2017-08-23,154870656,44,35,29,22,5,75,-4
2017-08-24,132540502.7,45,37,29,23,5,100,-3
2017-08-25,154025411.2,51,57,37,23,4,96,-2
2017-08-26,20874154.25,56,44,25,29,3,74,-2
2017-08-27,4798037.4,59,100,14,28,3,65,0
2017-08-28,173867392.7,50,51,36,45,5,65,-1
2017-08-29,157982850.1,49,32,36,37,5,66,-4
2017-08-30,172689110.9,49,33,40,36,5,77,0
2017-08-31,177173886.3,52,31,33,35,6,82,0
2017-09-01,129283024.4,50,34,36,32,5,77,0
2017-09-02,10952402.36,59,54,23,28,4,61,0
2017-09-03,3571544.79,62,39,13,23,2,54,0
2017-09-04,136489178.9,50,40,31,21,4,71,-3
2017-09-05,119511562.8,55,42,36,26,6,70,-3
2017-09-06,120239609,55,37,34,23,6,67,-3
2017-09-07,122184264.1,55,36,35,22,7,77,-3
2017-09-08,146159007.2,56,45,38,23,6,75,0
2017-09-09,2683299,68,38,27,25,4,54,-1
2017-09-10,12060220,81,44,16,25,4,53,0
2017-09-11,221575779,73,50,36,23,7,70,0
2017-09-12,256291503,66,38,39,23,8,75,-2
2017-09-13,216225412.9,60,38,39,22,8,78,-3
2017-09-14,212855859.2,60,36,39,25,8,81,-2
2017-09-15,209795773.1,60,36,42,24,8,78,0
2017-09-16,15939451.66,70,42,28,24,5,59,0
2017-09-17,14584750.91,74,66,14,23,4,50,-1
2017-09-18,172058204.2,60,39,39,25,8,72,-2
2017-09-19,148675348.3,60,37,35,24,7,73,0
2017-09-20,151828624.7,54,93,32,22,7,63,-3
2017-09-21,168401028.5,59,42,32,22,7,68,0
2017-09-22,179787340.4,59,39,39,23,7,65,-4
2017-09-23,25527749.27,69,78,27,22,5,54,-2
2017-09-24,8695385.33,72,45,15,24,4,53,0
2017-09-25,189057031.3,61,37,35,25,7,69,-2
2017-09-26,151934153.5,59,38,36,25,8,68,-3
2017-09-27,153223651.3,59,60,39,22,7,62,-2
2017-09-28,170301515.7,53,100,37,22,7,67,0
2017-09-29,162472920.6,68,42,59,26,8,75,-4
2017-09-30,33936369.01,71,43,35,24,5,58,-3
2017-10-01,4769314.91,73,67,15,28,5,53,0
2017-10-02,193960983.4,64,38,43,31,9,78,-3
2017-10-03,170574741,67,40,38,27,9,73,-3
2017-10-04,146036753.1,62,41,39,29,10,66,-3
2017-10-05,140391382.9,61,40,38,27,10,73,0
2017-10-06,155268859.7,61,40,41,26,9,82,-3
2017-10-07,22639860.86,68,46,28,27,7,62,0
2017-10-08,29173156.73,76,50,16,30,6,54,-5
2017-10-09,159827932.1,65,45,38,39,11,72,-5
2017-10-10,150142762.8,65,42,38,58,10,69,0
2017-10-11,140110727.8,65,42,38,36,10,68,-8
2017-10-12,150617457.5,63,40,39,29,8,70,-2
2017-10-13,194160422.4,62,47,48,28,8,79,-2
2017-10-14,39121241.42,73,44,33,28,6,69,-3
2017-10-15,12835088.91,78,51,18,31,5,65,-3
2017-10-16,189171637.5,66,48,43,28,9,73,-1
2017-10-17,186653592.1,63,41,40,27,9,74,-4
2017-10-18,164639666.4,66,41,38,29,10,72,-1
2017-10-19,163446497.9,67,41,38,27,9,73,-2
2017-10-20,190350175,65,47,42,26,8,64,-5
2017-10-21,28822365.91,73,53,30,28,5,61,0
2017-10-22,10265685.21,77,51,20,28,6,49,-3
2017-10-23,191736959.4,65,47,40,28,9,65,0
2017-10-24,147814232.3,71,41,40,28,12,72,-2
2017-10-25,145503621.5,68,41,40,27,12,72,-4
2017-10-26,152478470.8,67,42,41,27,11,74,0
2017-10-27,171292952.9,70,41,50,26,10,71,-6
2017-10-28,28696704.21,73,48,31,24,7,73,-4
2017-10-29,9624076.68,79,48,21,30,6,69,0
2017-10-30,192002347.4,72,42,53,27,12,96,-2
2017-10-31,165979600,72,42,45,29,14,95,-2
2017-11-01,143530989.2,67,45,39,27,16,90,-2
2017-11-02,19124287.99,67,46,39,26,19,91,0
2017-11-03,148524454.9,63,42,42,26,21,98,-2
2017-11-04,25869319.65,70,51,31,26,11,79,-1
2017-11-05,1230964.36,78,49,21,26,9,64,-1
2017-11-06,148388316,68,41,40,27,15,83,0
2017-11-07,129557208.1,63,45,38,27,14,76,-3
2017-11-08,135614188.6,61,41,36,27,13,85,-1
2017-11-09,144893537.2,60,43,39,26,13,83,-2
2017-11-10,148719055.6,65,38,43,27,12,82,-2
2017-11-11,27789030.47,73,49,31,25,9,78,0
2017-11-12,11398463.82,75,55,19,28,6,69,0
2017-11-13,175765464.3,66,39,45,26,14,83,-2
2017-11-14,157535347.3,64,39,46,28,14,81,0
2017-11-15,152874557,59,45,40,27,16,89,-1
2017-11-16,141113693,59,40,41,27,16,83,0
2017-11-17,151287273.3,63,38,41,26,13,77,0
2017-11-18,23104674.95,66,50,30,25,9,71,-2
2017-11-19,6871343.15,78,50,21,26,8,68,0
2017-11-20,9033818.15,56,55,36,23,11,83,-5
2017-11-21,169742991.8,59,38,39,24,12,93,-2
2017-11-22,147698375.1,54,41,35,23,13,88,-2
2017-11-23,146047683.6,55,40,37,23,13,81,-2
2017-11-24,138620057,55,39,43,25,12,80,-1
2017-11-25,21577793.85,70,53,29,25,9,62,-2
2017-11-26,6299222.84,71,83,18,25,8,62,0
2017-11-27,153178744.8,58,40,37,26,11,90,-2
2017-11-28,137570294.2,53,40,37,25,13,88,0
2017-11-29,164309050.4,56,42,39,22,13,84,-2
2017-11-30,177722234.7,55,40,42,22,14,79,-2
2017-12-01,124709056.8,60,40,40,24,13,73,-2
2017-12-02,15820818.43,74,54,31,26,11,61,-1
2017-12-03,5554376.18,80,44,18,26,9,60,-2
2017-12-04,119541573.1,60,38,40,26,14,79,-3
2017-12-05,118301710.6,55,41,35,24,14,81,-1
2017-12-06,128250436.7,58,45,33,22,13,81,-3
2017-12-07,139826995,54,39,32,23,13,70,-5
2017-12-08,148451786.7,38,39,25,14,7,68,-1
2017-12-09,1417300,53,43,21,16,6,65,-2
2017-12-10,17900545.23,54,38,13,17,5,57,-1
2017-12-11,235363894.3,45,29,26,17,8,71,-4
2017-12-12,49537915.72,100,29,24,19,8,80,-1
2017-12-13,219025847.1,99,27,24,17,9,77,0
2017-12-14,78940014.65,64,25,28,16,8,75,-1
2017-12-15,308851079.5,60,26,33,17,8,72,0
2017-12-16,54014756.78,68,46,16,18,5,57,0
2017-12-17,13822241.84,62,56,13,17,5,53,0
2017-12-18,174546787.1,50,30,30,19,10,68,-6
2017-12-19,166144807.5,44,54,22,15,9,65,-1
2017-12-20,157712898.5,40,58,21,16,7,74,-1
2017-12-21,147629895.1,40,66,22,15,6,71,-2
2017-12-22,143559013.7,45,40,24,16,6,70,-4
2017-12-23,20903791.83,53,39,17,16,5,58,-4
2017-12-24,9780293.31,56,34,11,18,4,72,-3
2017-12-25,5815802.27,47,31,25,18,11,100,-3
2017-12-26,130974643.5,45,30,24,17,10,92,-4
2017-12-27,112786256.8,46,34,26,18,9,79,-1
2017-12-28,109407699.8,45,32,28,17,8,80,-3
2017-12-29,113768109.6,49,28,42,19,7,73,0
2017-12-30,20300790.33,57,36,27,17,5,68,0
2017-12-31,6610466.3,59,34,16,20,4,61,0
2018-01-01,3582208.95,45,28,29,18,7,80,-1
2018-01-02,188007247.4,45,26,27,16,7,79,-3
2018-01-03,166279668.7,46,25,24,16,7,81,-6
2018-01-04,167564894.4,43,29,25,16,7,76,-1
2018-01-05,158520148.8,45,28,29,17,8,76,-1
2018-01-06,15787324.41,55,34,19,18,5,69,-1
2018-01-07,14659968.05,57,32,11,18,3,57,-1
2018-01-08,205464501.9,47,26,25,20,7,81,-1
2018-01-09,188909230.5,44,31,24,17,6,89,-5
2018-01-10,180510113.2,40,34,23,16,9,85,-2
2018-01-11,179115080.8,41,27,24,17,6,84,-3
2018-01-12,200262155.7,42,29,32,18,6,89,0
2018-01-13,28549945.22,56,37,24,18,5,76,-1
2018-01-14,8196987,54,35,13,17,3,61,-2
2018-01-15,212460041.6,46,29,28,18,10,95,0
2018-01-16,181501318.4,42,30,28,17,10,94,-3
2018-01-17,186599968,40,32,25,17,9,88,-2
2018-01-18,176487054.4,41,31,25,17,7,80,0
2018-01-19,190430339.3,42,28,28,17,6,80,0
2018-01-20,20013779.58,52,35,20,17,4,67,-2
2018-01-21,5749127.04,52,33,14,18,5,62,-1
2018-01-22,206090383.6,40,28,25,19,7,81,-2
2018-01-23,175056134.5,41,27,24,18,7,84,-3
2018-01-24,176612239.1,40,30,25,17,6,88,-3
2018-01-25,159406849,40,31,26,17,6,84,-4
2018-01-26,177553258.1,45,26,29,18,7,82,0
2018-01-27,22046872.95,51,30,22,15,4,64,0
2018-01-28,6298593.57,57,32,16,17,3,55,-1
2018-01-29,198059972.4,44,26,30,18,6,68,0
2018-01-30,175178306.9,40,25,32,16,7,63,-6
2018-01-31,208831759.2,43,31,29,17,7,60,-7
2018-02-01,141202196,52,31,22,19,5,59,0
2018-02-02,138266512.9,57,28,31,20,5,67,-5
2018-02-03,1516600,69,32,24,19,4,55,-4
2018-02-04,712900,65,36,15,19,4,46,-3
2018-02-05,9400,54,29,29,21,6,65,-2
2018-02-06,206407755.5,55,26,26,19,5,64,0
2018-02-07,154155243,50,25,24,21,6,62,-2
2018-02-08,158177426.8,47,25,24,21,6,58,-4
2018-02-09,168853161.8,47,35,27,20,6,55,-4
2018-02-10,1164812.9,59,30,20,22,3,50,-4
2018-02-11,1388500,63,32,11,24,3,50,-3
2018-02-12,231351834.8,51,43,24,23,6,60,-2
2018-02-13,169115174.1,48,27,29,23,6,59,-2
2018-02-14,165927239,46,27,31,25,6,56,0
2018-02-15,157736557.7,48,28,28,26,5,62,-3
2018-02-16,169278194.6,62,33,33,44,5,59,-2
2018-02-17,2823958.28,78,44,26,44,3,52,-1
2018-02-18,2986582.85,81,44,18,39,3,45,-2
2018-02-19,209690341.5,77,44,17,38,3,51,0
2018-02-20,152639527.7,58,31,27,33,5,64,-3
2018-02-21,153578529.9,50,29,26,31,5,61,0
2018-02-22,147221155.1,48,31,26,33,5,61,-7
2018-02-23,163246155.8,50,31,28,56,6,67,-6
2018-02-24,1032474.85,62,34,21,42,4,54,0
2018-02-25,1918900,62,39,15,34,3,49,-2
2018-02-26,216824833.5,53,35,29,41,5,63,0
2018-02-27,175143934.4,45,25,26,32,5,66,0
2018-02-28,214577144.9,45,26,28,25,5,58,-1
2018-03-01,171071194.5,44,27,33,24,5,60,-3
2018-03-02,185733008.5,48,39,31,25,5,58,0
2018-03-03,25008630.12,58,31,24,25,4,53,-2
2018-03-04,38724344,65,39,14,27,4,47,0
2018-03-05,219994758.5,53,28,27,26,5,62,-4
2018-03-06,218868976,52,27,26,25,6,56,-4
2018-03-07,227031000.8,47,26,23,24,5,58,-2
2018-03-08,231685920,46,29,24,24,5,63,-1
2018-03-09,219907072.6,51,40,27,23,4,61,-3
2018-03-10,48086881.15,66,32,25,27,4,56,0
2018-03-11,17195504.19,68,39,14,28,4,47,1
2018-03-12,246101608.4,57,35,30,29,5,63,0
2018-03-13,204368237.8,60,32,26,29,6,64,-2
2018-03-14,191239785.4,56,27,31,28,7,67,-3
2018-03-15,209453867.8,56,28,31,28,6,59,-3
2018-03-16,211600415.9,61,27,36,29,7,59,0
2018-03-17,34057899.7,72,32,26,29,4,55,-1
2018-03-18,9132255.75,79,36,14,32,4,55,-1
2018-03-19,11887238.97,70,34,32,34,6,70,-3
2018-03-20,226585384.9,68,30,35,33,7,66,-1
2018-03-21,192759834.1,69,30,32,32,8,75,-1
2018-03-22,192455536.3,76,31,31,31,5,75,-3
2018-03-23,168834496.2,79,35,37,29,4,78,0
2018-03-24,31261156.36,82,37,23,27,3,79,-1
2018-03-25,12414694.83,89,33,11,27,3,62,0
2018-03-26,226743423.9,100,32,8,28,2,62,0
2018-03-27,172522900.6,94,35,30,33,4,96,0
2018-03-28,184421857.6,86,36,30,31,3,100,0
2018-03-29,13761028.15,84,33,32,32,4,89,-1
2018-03-30,11710448.68,84,34,37,27,3,80,-2
2018-03-31,15695446.42,89,34,27,26,2,65,-1
2018-04-01,6774457.38,80,34,12,25,1,54,0
2018-04-02,205351568.4,72,42,8,24,2,56,0
2018-04-03,185256435.5,80,37,29,32,5,85,-2
2018-04-04,172911977.9,78,34,28,32,5,80,-2
2018-04-05,183708104,83,35,29,30,4,79,-1
2018-04-06,179634759.6,79,34,31,29,4,82,-1
2018-04-07,29727310.11,93,40,23,26,3,67,-2
2018-04-08,29968043.38,85,46,15,27,3,61,0
2018-04-09,271993564.2,61,35,28,28,5,73,0
2018-04-10,240305585.4,59,30,27,26,5,69,-1
2018-04-11,248941319.9,53,29,26,25,5,69,-2
2018-04-12,206182111.3,53,29,27,24,6,70,-2
2018-04-13,213834311.5,54,31,29,23,5,83,-1
2018-04-14,37361446.27,63,39,24,24,4,67,-1
2018-04-15,12781061.52,65,45,13,24,3,54,0
2018-04-16,231724901.7,52,30,30,24,5,71,0
2018-04-17,188897073.1,49,28,28,24,5,64,-3
2018-04-18,191823445.1,50,30,27,22,5,66,0
2018-04-19,179205701.2,51,30,26,24,5,68,0
2018-04-20,194856104.9,50,32,29,23,6,67,0
2018-04-21,26335548.32,62,36,21,22,4,65,-2
2018-04-22,10827958.85,61,39,15,25,3,57,0
2018-04-23,217964067.2,52,32,29,24,6,66,0
2018-04-24,184810876.3,49,31,24,22,6,65,-6
2018-04-25,185859730.7,48,30,26,22,6,66,-2
2018-04-26,194605506.5,47,32,25,23,6,65,-1
2018-04-27,204188165.1,49,33,28,22,6,64,0
2018-04-28,22576757.71,58,38,22,22,4,59,0
2018-04-29,5534002.08,62,40,15,23,4,48,-1
2018-04-30,259874079.9,49,33,27,22,6,64,-3
2018-05-01,8000643.08,45,30,29,21,6,60,0
2018-05-02,204342533.6,44,28,30,20,6,46,-6
2018-05-03,180891673.6,41,33,28,22,6,40,-3
2018-05-04,178689154.4,44,30,29,21,6,40,0
2018-05-05,21275293.3,55,35,26,22,4,37,0
2018-05-06,26447263.08,61,42,16,23,3,29,0
2018-05-07,266922793.5,58,38,16,24,3,37,0
2018-05-08,230225608.3,47,31,27,23,6,48,-2
2018-05-09,236873236.9,43,28,26,20,6,42,-2
2018-05-10,185646539.5,41,28,25,21,5,44,0
2018-05-11,211278858.8,43,29,27,19,5,40,-7
2018-05-12,34213787.49,84,59,36,35,6,35,-4
2018-05-13,19322514.24,83,66,24,35,6,28,-2
2018-05-14,260322357.5,67,51,38,34,9,38,-2
